y,Sb
0.4675,0.251342
0.4665,0.253951
0.4655,0.256538
0.4645,0.259102
0.4635,0.261644
0.4625,0.264165
0.4615,0.266665
0.4605,0.269144
0.4595,0.271603
0.4585,0.274041
0.4575,0.27646
0.4565,0.278859
0.4555,0.281239
0.4545,0.2836
0.4535,0.285942
0.4525,0.288266
0.4515,0.290572
0.4505,0.29286
0.4495,0.29513
0.4485,0.297383
0.4475,0.299619
0.4465,0.301838
0.4455,0.30404
0.4445,0.306225
0.4435,0.308394
0.4425,0.310547
0.4415,0.312684
0.4405,0.314805
0.4395,0.316911
0.4385,0.319001
0.4375,0.321076
0.4365,0.323136
0.4355,0.325181
0.4345,0.327211
0.4335,0.329226
0.4325,0.331227
0.4315,0.333213
0.4305,0.335185
0.4295,0.337143
0.4285,0.339087
0.4275,0.341017
0.4265,0.342934
0.4255,0.344836
0.4245,0.346726
0.4235,0.348601
0.4225,0.350463
0.4215,0.352312
0.4205,0.354148
0.4195,0.355971
0.4185,0.357781
0.4175,0.359577
0.4165,0.361361
0.4155,0.363132
0.4145,0.364891
0.4135,0.366636
0.4125,0.36837
0.4115,0.37009
0.4105,0.371798
0.4095,0.373494
0.4085,0.375178
0.4075,0.376849
0.4065,0.378508
0.4055,0.380155
0.4045,0.381789
0.4035,0.383412
0.4025,0.385022
0.4015,0.38662
0.4005,0.388207
0.3995,0.389781
0.3985,0.391343
0.3975,0.392894
0.3965,0.394432
0.3955,0.395959
0.3945,0.397474
0.3935,0.398977
0.3925,0.400468
0.3915,0.401948
0.3905,0.403415
0.3895,0.404871
0.3885,0.406315
0.3875,0.407748
0.3865,0.409168
0.3855,0.410577
0.3845,0.411974
0.3835,0.41336
0.3825,0.414734
0.3815,0.416096
0.3805,0.417446
0.3795,0.418784
0.3785,0.420111
0.3775,0.421426
0.3765,0.42273
0.3755,0.424021
0.3745,0.425301
0.3735,0.426569
0.3725,0.427826
0.3715,0.42907
0.3705,0.430303
0.3695,0.431524
0.3685,0.432733
0.3675,0.43393
0.3665,0.435116
0.3655,0.43629
0.3645,0.437452
0.3635,0.438601
0.3625,0.43974
0.3615,0.440866
0.3605,0.44198
0.3595,0.443083
0.3585,0.444173
0.3575,0.445252
0.3565,0.446318
0.3555,0.447373
0.3545,0.448416
0.3535,0.449446
0.3525,0.450465
0.3515,0.451472
0.3505,0.452466
0.3495,0.453449
0.3485,0.45442
0.3475,0.455379
0.3465,0.456325
0.3455,0.45726
0.3445,0.458183
0.3435,0.459093
0.3425,0.459992
0.3415,0.460878
0.3405,0.461753
0.3395,0.462616
0.3385,0.463466
0.3375,0.464305
0.3365,0.465131
0.3355,0.465946
0.3345,0.466749
0.3335,0.467539
0.3325,0.468318
0.3315,0.469085
0.3305,0.46984
0.3295,0.470583
0.3285,0.471315
0.3275,0.472034
0.3265,0.472742
0.3255,0.473438
0.3245,0.474123
0.3235,0.474796
0.3225,0.475457
0.3215,0.476107
0.3205,0.476745
0.3195,0.477372
0.3185,0.477987
0.3175,0.478591
0.3165,0.479184
0.3155,0.479765
